time (seconds),encoderLeft (meters),encoderRight (meters)
91.003,-0.001050916500389576,-0.0011700642062351108
91.113,-0.001050916500389576,-0.0011700642062351108
91.198,-0.001050916500389576,-0.0011700642062351108
91.301,-0.0010504277888685465,-0.0011698812013491988
91.4,-0.0010513919405639172,-0.0011709934333339334
91.502,-0.0010526346741244197,-0.0011723593343049288
91.595,-0.0010538699571043253,-0.0011737174354493618
91.695,-0.0010551048908382654,-0.001175076817162335
91.794,-0.0010563414543867111,-0.0011764374794438481
91.897,-0.0010575804626569152,-0.0011777994222939014
92.005,-0.0010588146978989244,-0.0011791548458859324
92.099,-0.0010600547539070249,-0.001180517952889204
92.2,-0.0010612925980240107,-0.0011818784987553954
92.3,-0.0010625325376167893,-0.0011832383461296558
92.4,-0.0010637707309797406,-0.0011845969129353762
92.501,-0.0010650123003870249,-0.0011859601363539696
92.603,-0.0010662466520443559,-0.001187315210700035
92.703,-0.0010673718061298132,-0.001188573776744306
92.803,-0.0010685479501262307,-0.001189880189485848
92.905,-0.001069730962626636,-0.0011911946348845959
93,-0.0010708827758207917,-0.0011924791615456343
93.101,-0.0010720206191763282,-0.0011937519302591681
93.201,-0.0010732159717008471,-0.001195076503790915
93.299,-0.0010743440361693501,-0.0011963365832343698
93.4,-0.0010754880495369434,-0.001197611098177731
93.496,-0.0010766522027552128,-0.0011989051708951592
93.592,-0.0010777999414131045,-0.0012001858558505774
93.7,-0.001078957342542708,-0.0012014751555398107
93.8,-0.0010801012394949794,-0.0012027493212372065
93.899,0.019283246248960495,-0.014177875593304634
94.004,0.039696257561445236,-0.027158062905073166
94.099,0.06010856106877327,-0.040138594806194305
94.185,0.08052002638578415,-0.05311984941363335
94.289,0.10093271732330322,-0.06609974801540375
94.397,0.12134736776351929,-0.07907846570014954
94.497,0.14176054298877716,-0.09205774962902069
94.601,0.16217182576656342,-0.10503924638032913
94.702,0.18258367478847504,-0.11801993101835251
94.797,0.2029963880777359,-0.13100014626979828
94.897,0.20644184947013855,-0.1274518519639969
95.001,0.2098710834980011,-0.1238916739821434
95.096,0.2132999449968338,-0.12033107876777649
95.201,0.2167285978794098,-0.11677026748657227
95.3,0.22015711665153503,-0.11320941895246506
95.397,0.22358562052249908,-0.10964854061603546
95.498,0.22701412439346313,-0.10608762502670288
95.601,0.2304425984621048,-0.1025267094373703
95.7,0.23387108743190765,-0.09896578639745712
95.801,0.23729950189590454,-0.09540493041276932
95.899,0.24053165316581726,-0.09202808141708374
96.001,0.24376365542411804,-0.0886513814330101
96.099,0.24699567258358002,-0.08527466654777527
96.202,0.2502277195453644,-0.08189789950847626
96.301,0.2534596920013428,-0.078521229326725
96.401,0.25669169425964355,-0.07514452934265137
96.517,0.25992369651794434,-0.07176782190799713
96.6,0.2631556987762451,-0.0683911144733429
96.698,0.2663877308368683,-0.06501439213752747
96.8,0.26961973309516907,-0.06163766235113144
